Top Pos_x,Top Pos_y,Bottom Pos_x,Bottom Pos_y
0.,0.011,0.,3.499
0.01,0.011,0.01,3.499
0.02,0.011,0.02,3.499
0.0300000000,0.011,0.0300000000,3.499
0.0400000000,0.011,0.0400000000,3.499
0.05,0.012,0.05,3.499
0.06,0.012,0.06,3.499
0.0700000000,0.011,0.0700000000,3.499
0.0800000000,0.012,0.0800000000,3.499
0.09,0.011,0.09,3.499
0.1,0.011,0.1,3.499
0.1100000000,0.011,0.1100000000,3.499
0.1200000000,0.012,0.1200000000,3.499
0.13,0.012,0.13,3.499
0.14,0.012,0.14,3.499
0.15,0.012,0.15,3.499
0.1600000000,0.012,0.1600000000,3.499
0.17,0.011,0.17,3.499
0.18,0.011,0.18,3.499
0.19,0.011,0.19,3.499
0.2000000000,0.011,0.2000000000,3.499
0.21,0.011,0.21,3.499
0.22,0.012,0.22,3.499
0.23,0.012,0.23,3.499
0.2400000000,0.012,0.2400000000,3.499
0.25,0.011,0.25,3.499
0.26,0.011,0.26,3.499
0.27,0.011,0.27,3.499
0.2800000000,0.011,0.2800000000,3.499
0.2900000000,0.011,0.2900000000,3.499
0.3,0.012,0.3,3.499
0.31,0.012,0.31,3.499
0.3200000000,0.012,0.3200000000,3.499
0.3300000000,0.011,0.3300000000,3.499
0.34,0.011,0.34,3.499
0.35,0.011,0.35,3.499
0.3600000000,0.011,0.3600000000,3.499
0.3700000000,0.011,0.3700000000,3.499
0.38,0.011,0.38,3.499
0.39,0.011,0.39,3.499
0.4,0.011,0.4,3.499
0.4100000000,0.012,0.4100000000,3.499
0.42,0.012,0.42,3.499
0.43,0.012,0.43,3.499
0.44,0.011,0.44,3.499
0.4500000000,0.011,0.4500000000,3.499
0.46,0.011,0.46,3.499
0.47,0.011,0.47,3.499
0.48,0.011,0.48,3.499
0.4900000000,0.011,0.4900000000,3.499
0.5,0.012,0.5,3.499
0.51,0.012,0.51,3.499
0.52,0.012,0.52,3.499
0.5300000000,0.012,0.5300000000,3.499
0.54,0.011,0.54,3.499
0.55,0.011,0.55,3.499
0.56,0.011,0.56,3.499
0.5700000000,0.011,0.5700000000,3.499
0.5800000000,0.011,0.5800000000,3.499
0.59,0.011,0.59,3.499
0.6,0.012,0.6,3.499
0.6100000000,0.012,0.6100000000,3.499
0.6200000000,0.012,0.6200000000,3.499
0.63,0.011,0.63,3.499
0.64,0.011,0.64,3.499
0.65,0.011,0.65,3.499
0.6600000000,0.011,0.6600000000,3.499
0.67,0.011,0.67,3.499
0.68,0.012,0.68,3.499
0.69,0.012,0.69,3.499
0.7000000000,0.012,0.7000000000,3.499
0.71,0.012,0.71,3.499
0.72,0.011,0.72,3.499
0.73,0.011,0.73,3.499
0.7400000000,0.011,0.7400000000,3.499
0.75,0.011,0.75,3.499
0.76,0.011,0.76,3.499
0.77,0.012,0.77,3.499
0.7800000000,0.012,0.7800000000,3.499
0.79,0.012,0.79,3.499
0.8,0.012,0.8,3.499
0.81,0.011,0.81,3.499
0.8200000000,0.011,0.8200000000,3.499
0.8300000000,0.011,0.8300000000,3.499
0.84,0.011,0.84,3.499
0.85,0.012,0.85,3.499
0.8600000000,0.012,0.8600000000,3.499
0.8700000000,0.012,0.8700000000,3.499
0.88,0.011,0.88,3.499
0.89,0.011,0.89,3.499
0.9,0.011,0.9,3.499
