Top Pos_x,Top Pos_y,Bottom Pos_x,Bottom Pos_y
0.,0.012,0.,-0.002
0.01,0.012,0.01,-0.002
0.0200000000,0.012,0.0200000000,-0.002
0.0300000000,0.011,0.0300000000,0.
0.04,0.011,0.04,0.
0.05,0.011,0.05,-0.002
0.0600000000,0.011,0.0600000000,-0.002
0.07,0.011,0.07,-0.002
0.08,0.012,0.08,0.
0.0900000000,0.011,0.0900000000,0.
0.1,0.011,0.1,-0.002
0.11,0.011,0.11,-0.002
0.1200000000,0.011,0.1200000000,0.
0.13,0.012,0.13,0.
0.14,0.012,0.14,0.
0.1500000000,0.012,0.1500000000,0.
0.16,0.011,0.16,-0.002
0.17,0.011,0.17,0.
0.1800000000,0.011,0.1800000000,-0.002
0.19,0.011,0.19,-0.002
0.2,0.011,0.2,-0.002
0.2100000000,0.012,0.2100000000,0.
0.22,0.012,0.22,-0.002
0.23,0.012,0.23,-0.002
0.2400000000,0.012,0.2400000000,0.
0.25,0.011,0.25,0.
0.26,0.011,0.26,-0.002
0.2700000000,0.011,0.2700000000,-0.002
0.2800000000,0.012,0.2800000000,-0.002
0.29,0.012,0.29,-0.002
0.3,0.012,0.3,-0.002
0.3100000000,0.012,0.3100000000,-0.002
0.32,0.011,0.32,-0.002
0.33,0.011,0.33,-0.002
0.3400000000,0.011,0.3400000000,-0.002
0.35,0.012,0.35,-0.002
0.36,0.012,0.36,-0.002
0.3700000000,0.012,0.3700000000,-0.002
0.38,0.012,0.38,-0.002
0.39,0.012,0.39,-0.002
0.4000000000,0.011,0.4000000000,-0.002
0.41,0.011,0.41,-0.002
0.42,0.011,0.42,-0.002
0.4300000000,0.012,0.4300000000,0.
0.44,0.012,0.44,-0.002
0.45,0.012,0.45,-0.002
0.4600000000,0.012,0.4600000000,0.
0.47,0.011,0.47,-0.002
0.48,0.011,0.48,0.
0.4900000000,0.012,0.4900000000,-0.002
0.5,0.011,0.5,-0.002
0.51,0.012,0.51,-0.002
0.5200000000,0.012,0.5200000000,-0.002
0.5300000000,0.012,0.5300000000,-0.002
0.54,0.012,0.54,-0.002
0.55,0.012,0.55,-0.002
0.5600000000,0.012,0.5600000000,-0.002
0.57,0.011,0.57,-0.002
0.58,0.011,0.58,-0.002
0.5900000000,0.011,0.5900000000,-0.002
0.6,0.011,0.6,-0.002
0.61,0.012,0.61,-0.002
0.6200000000,0.012,0.6200000000,-0.002
0.63,0.012,0.63,-0.002
0.64,0.011,0.64,-0.002
0.6500000000,0.011,0.6500000000,-0.002
0.66,0.011,0.66,-0.002
0.67,0.011,0.67,-0.002
0.6800000000,0.012,0.6800000000,-0.002
0.69,0.012,0.69,0.
0.7,0.011,0.7,0.
0.7100000000,0.011,0.7100000000,-0.002
0.72,0.011,0.72,0.
0.73,0.011,0.73,0.
0.7400000000,0.011,0.7400000000,0.
0.75,0.012,0.75,0.
0.76,0.011,0.76,0.
0.7700000000,0.012,0.7700000000,0.
0.7800000000,0.012,0.7800000000,0.
0.79,0.011,0.79,0.
0.8,0.011,0.8,-0.002
0.8100000000,0.011,0.8100000000,0.
0.82,0.011,0.82,0.
0.83,0.012,0.83,0.
0.8400000000,0.012,0.8400000000,0.
0.85,0.011,0.85,0.
0.86,0.011,0.86,0.
0.8700000000,0.011,0.8700000000,0.
0.88,0.011,0.88,0.
0.89,0.011,0.89,0.
0.9000000000,0.011,0.9000000000,0.
0.91,0.011,0.91,0.
0.92,0.011,0.92,0.
0.9300000000,0.011,0.9300000000,0.
0.94,0.011,0.94,0.
0.95,0.012,0.95,0.
0.9600000000,0.011,0.9600000000,0.
0.97,0.011,0.97,0.
0.98,0.011,0.98,0.
0.9900000000,0.011,0.9900000000,0.
1.,0.011,1.,0.
1.01,0.012,1.01,-0.002
1.0200000000,0.012,1.0200000000,0.
