Top Pos_x,Top Pos_y,Bottom Pos_x,Bottom Pos_y
0.,0.018,0.,3.52
0.0100000000,0.02,0.0100000000,3.52
0.02,0.018,0.02,3.52
0.0300000000,0.018,0.0300000000,3.52
0.04,0.018,0.04,3.52
0.0500000000,0.018,0.0500000000,3.52
0.06,0.018,0.06,3.52
0.0700000000,0.018,0.0700000000,3.52
0.0800000000,0.018,0.0800000000,3.52
0.09,0.018,0.09,3.52
0.1000000000,0.018,0.1000000000,3.52
0.11,0.018,0.11,3.52
0.1200000000,0.02,0.1200000000,3.52
0.13,0.02,0.13,3.52
0.1400000000,0.02,0.1400000000,3.52
0.15,0.018,0.15,3.52
0.1600000000,0.018,0.1600000000,3.52
0.1700000000,0.018,0.1700000000,3.52
0.18,0.018,0.18,3.52
0.1900000000,0.018,0.1900000000,3.52
0.2,0.018,0.2,3.52
0.2100000000,0.018,0.2100000000,3.52
0.22,0.02,0.22,3.52
0.2300000000,0.02,0.2300000000,3.52
0.2400000000,0.02,0.2400000000,3.52
0.25,0.018,0.25,3.52
0.2600000000,0.02,0.2600000000,3.52
0.27,0.02,0.27,3.52
0.2800000000,0.02,0.2800000000,3.52
0.29,0.02,0.29,3.52
0.3000000000,0.02,0.3000000000,3.52
0.31,0.02,0.31,3.52
0.3200000000,0.018,0.3200000000,3.52
0.3300000000,0.018,0.3300000000,3.52
0.34,0.02,0.34,3.52
0.3500000000,0.018,0.3500000000,3.52
0.36,0.018,0.36,3.52
0.3700000000,0.018,0.3700000000,3.52
0.38,0.018,0.38,3.52
0.3900000000,0.018,0.3900000000,3.52
0.4,0.018,0.4,3.52
0.4100000000,0.018,0.4100000000,3.52
0.4200000000,0.018,0.4200000000,3.52
0.43,0.02,0.43,3.52
0.4400000000,0.02,0.4400000000,3.52
0.45,0.02,0.45,3.52
0.4600000000,0.018,0.4600000000,3.52
0.47,0.018,0.47,3.52
0.4800000000,0.018,0.4800000000,3.52
0.4900000000,0.018,0.4900000000,3.52
0.5,0.018,0.5,3.52
0.5100000000,0.02,0.5100000000,3.52
0.52,0.02,0.52,3.52
0.5300000000,0.02,0.5300000000,3.52
0.54,0.02,0.54,3.52
0.5500000000,0.018,0.5500000000,3.52
0.56,0.018,0.56,3.52
0.5700000000,0.018,0.5700000000,3.52
0.5800000000,0.018,0.5800000000,3.52
0.59,0.02,0.59,3.52
0.6000000000,0.02,0.6000000000,3.52
0.61,0.018,0.61,3.52
0.6200000000,0.018,0.6200000000,3.52
0.63,0.018,0.63,3.52
0.6400000000,0.018,0.6400000000,3.52
0.65,0.018,0.65,3.52
0.6600000000,0.018,0.6600000000,3.52
0.6700000000,0.018,0.6700000000,3.52
0.68,0.018,0.68,3.52
0.6900000000,0.018,0.6900000000,3.52
0.7,0.02,0.7,3.52
0.7100000000,0.02,0.7100000000,3.52
0.72,0.02,0.72,3.52
0.7300000000,0.02,0.7300000000,3.52
0.7400000000,0.018,0.7400000000,3.52
0.75,0.018,0.75,3.52
0.7600000000,0.018,0.7600000000,3.52
0.77,0.018,0.77,3.52
0.7800000000,0.02,0.7800000000,3.52
0.79,0.02,0.79,3.52
0.8000000000,0.02,0.8000000000,3.52
0.81,0.02,0.81,3.52
0.8200000000,0.018,0.8200000000,3.52
0.8300000000,0.018,0.8300000000,3.52
0.84,0.018,0.84,3.52
0.8500000000,0.02,0.8500000000,3.52
0.86,0.02,0.86,3.52
0.8700000000,0.02,0.8700000000,3.52
0.88,0.02,0.88,3.52
0.8900000000,0.018,0.8900000000,3.52
0.9,0.02,0.9,3.52
0.9100000000,0.018,0.9100000000,3.52
0.9200000000,0.018,0.9200000000,3.52
0.93,0.018,0.93,3.52
0.9400000000,0.02,0.9400000000,3.52
0.95,0.02,0.95,3.52
0.9600000000,0.02,0.9600000000,3.52
0.97,0.018,0.97,3.52
0.9800000000,0.018,0.9800000000,3.52
0.9900000000,0.018,0.9900000000,3.52
1.,0.018,1.,3.52
1.0100000000,0.018,1.0100000000,3.52
1.02,0.018,1.02,3.52
1.0300000000,0.02,1.0300000000,3.52
1.04,0.02,1.04,3.52
1.0500000000,0.02,1.0500000000,3.52
1.06,0.018,1.06,3.52
1.0700000000,0.018,1.0700000000,3.52
1.0800000000,0.018,1.0800000000,3.52
1.09,0.018,1.09,3.52
1.1000000000,0.018,1.1000000000,3.52
1.11,0.02,1.11,3.52
1.1200000000,0.02,1.1200000000,3.52
1.13,0.02,1.13,3.52
1.1400000000,0.018,1.1400000000,3.52
1.15,0.018,1.15,3.52
1.1600000000,0.018,1.1600000000,3.52
1.1700000000,0.018,1.1700000000,3.52
1.18,0.02,1.18,3.52
1.1900000000,0.02,1.1900000000,3.52
1.2,0.02,1.2,3.52
1.2100000000,0.018,1.2100000000,3.52
1.22,0.018,1.22,3.52
1.2300000000,0.018,1.2300000000,3.52
1.2400000000,0.018,1.2400000000,3.52
1.25,0.018,1.25,3.52
1.2600000000,0.02,1.2600000000,3.52
1.27,0.02,1.27,3.52
1.2800000000,0.02,1.2800000000,3.52
1.29,0.018,1.29,3.52
1.3000000000,0.018,1.3000000000,3.52
1.31,0.018,1.31,3.52
1.3200000000,0.018,1.3200000000,3.52
1.3300000000,0.018,1.3300000000,3.52
1.34,0.018,1.34,3.52
1.3500000000,0.018,1.3500000000,3.52
1.36,0.02,1.36,3.52
1.3700000000,0.018,1.3700000000,3.52
1.38,0.018,1.38,3.52
1.3900000000,0.018,1.3900000000,3.52
1.4,0.02,1.4,3.52
1.4100000000,0.02,1.4100000000,3.52
1.4200000000,0.02,1.4200000000,3.52
1.43,0.02,1.43,3.52
1.4400000000,0.02,1.4400000000,3.52
1.45,0.018,1.45,3.52
1.4600000000,0.018,1.4600000000,3.52
1.47,0.018,1.47,3.519
1.4800000000,0.018,1.4800000000,3.52
1.4900000000,0.018,1.4900000000,3.519
1.5,0.02,1.5,3.52
1.5100000000,0.02,1.5100000000,3.52
1.52,0.02,1.52,3.52
1.5300000000,0.018,1.5300000000,3.52
1.54,0.018,1.54,3.52
1.5500000000,0.018,1.5500000000,3.52
