Top Pos_x,Top Pos_y,Bottom Pos_x,Bottom Pos_y
0.,-0.015,0.,0.005
0.0100000000,-0.014,0.0100000000,0.005
0.0200000000,-0.015,0.0200000000,0.005
0.0300000000,-0.014,0.0300000000,0.005
0.0400000000,-0.014,0.0400000000,0.003
0.0500000000,-0.014,0.0500000000,0.003
0.0600000000,-0.014,0.0600000000,0.005
0.0700000000,-0.014,0.0700000000,0.005
0.0800000000,-0.015,0.0800000000,0.005
0.0900000000,-0.015,0.0900000000,0.005
0.1000000000,-0.015,0.1000000000,0.005
0.11,-0.014,0.11,0.005
0.12,-0.014,0.12,0.005
0.13,-0.014,0.13,0.003
0.14,-0.014,0.14,0.003
0.15,-0.014,0.15,0.003
0.16,-0.015,0.16,0.003
0.17,-0.014,0.17,0.005
0.18,-0.014,0.18,0.005
0.19,-0.014,0.19,0.005
0.2,-0.014,0.2,0.005
0.21,-0.014,0.21,0.005
0.22,-0.015,0.22,0.005
0.23,-0.015,0.23,0.003
0.24,-0.015,0.24,0.003
0.25,-0.014,0.25,0.005
0.26,-0.014,0.26,0.005
0.27,-0.014,0.27,0.003
0.28,-0.014,0.28,0.003
0.2900000000,-0.015,0.2900000000,0.003
0.3000000000,-0.015,0.3000000000,0.005
0.3100000000,-0.015,0.3100000000,0.005
0.3200000000,-0.014,0.3200000000,0.005
0.3300000000,-0.014,0.3300000000,0.005
0.3400000000,-0.014,0.3400000000,0.005
0.3500000000,-0.014,0.3500000000,0.003
0.36,-0.014,0.36,0.005
0.37,-0.015,0.37,0.003
0.38,-0.015,0.38,0.003
0.39,-0.015,0.39,0.005
0.4,-0.014,0.4,0.005
0.41,-0.014,0.41,0.005
0.42,-0.014,0.42,0.003
0.43,-0.014,0.43,0.005
0.44,-0.015,0.44,0.003
0.45,-0.015,0.45,0.005
0.46,-0.015,0.46,0.005
0.47,-0.014,0.47,0.003
0.48,-0.014,0.48,0.005
0.49,-0.014,0.49,0.005
0.5,-0.014,0.5,0.005
0.51,-0.015,0.51,0.005
0.52,-0.015,0.52,0.003
0.53,-0.014,0.53,0.003
0.54,-0.014,0.54,0.005
