System Current (A)_x,System Current (A)_y,System Voltage (V)_x,System Voltage (V)_y,3.3V Current (A)_x,3.3V Current (A)_y,5V Current (A)_x,5V Current (A)_y,12V Current (A)_x,12V Current (A)_y
14.6235640049,0.,14.6235640049,15.542,14.6235640049,53.724,14.6235640049,5.372,14.6235640049,5.372
14.6240699291,0.,14.6240699291,15.467,14.6240699291,26.862,14.6240699291,5.372,14.6240699291,10.745
14.6244380474,0.,14.6244380474,15.408,14.6244380474,96.703,14.6244380474,5.372,14.6244380474,8.059
14.6248257160,0.,14.6248257160,15.497,14.6248257160,37.607,14.6248257160,0.,14.6248257160,8.059
14.6627299786,0.,14.6627299786,15.378,14.6627299786,59.096,14.6627299786,5.372,14.6627299786,8.059
14.6632268429,0.,14.6632268429,15.482,14.6632268429,29.548,14.6632268429,5.372,14.6632268429,5.372
14.6635940075,0.,14.6635940075,15.535,14.6635940075,45.665,14.6635940075,5.372,14.6635940075,8.059
14.6639690399,0.,14.6639690399,15.453,14.6639690399,34.921,14.6639690399,5.372,14.6639690399,8.059
14.7033798695,0.,14.7033798695,15.408,14.7033798695,107.448,14.7033798695,5.372,14.7033798695,8.059
14.7038938999,0.,14.7038938999,15.527,14.7038938999,45.665,14.7038938999,8.059,14.7038938999,8.059
14.704267025,0.,14.704267025,15.475,14.704267025,21.49,14.704267025,5.372,14.704267025,8.059
14.7046267986,0.,14.7046267986,15.512,14.7046267986,40.293,14.7046267986,5.372,14.7046267986,8.059
14.7435567379,0.,14.7435567379,15.408,14.7435567379,112.821,14.7435567379,8.059,14.7435567379,8.059
14.7440619469,0.,14.7440619469,15.49,14.7440619469,42.979,14.7440619469,5.372,14.7440619469,8.059
14.7444479465,0.,14.7444479465,15.438,14.7444479465,48.352,14.7444479465,5.372,14.7444479465,8.059
14.7448236942,0.,14.7448236942,15.535,14.7448236942,29.548,14.7448236942,8.059,14.7448236942,8.059
14.7828149796,0.,14.7828149796,15.415,14.7828149796,88.645,14.7828149796,5.372,14.7828149796,8.059
14.7833719254,0.,14.7833719254,15.497,14.7833719254,32.234,14.7833719254,5.372,14.7833719254,8.059
14.7837598324,0.,14.7837598324,15.415,14.7837598324,110.134,14.7837598324,8.059,14.7837598324,8.059
14.7841379642,0.,14.7841379642,15.52,14.7841379642,42.979,14.7841379642,5.372,14.7841379642,8.059
14.8236050606,0.,14.8236050606,15.467,14.8236050606,32.234,14.8236050606,5.372,14.8236050606,5.372
14.8241448402,0.,14.8241448402,15.445,14.8241448402,67.155,14.8241448402,5.372,14.8241448402,5.372
